Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
13/02/18,08:30,12:30,Campus,Uitlegsessie VOP,,
18/02/18,13:30,13:45,Extern,Doornemen voorstel + vragen formuleren,,
20/02/18,08:15,12:30,Campus,Gesprek klant + voorbereiden analyse + sprint 1 opstellen,,
25/02/18,14:00,15:00,Extern,Use Case diagrammen start,10,
26/02/18,09:00,10:00,Extern,Wireframe(mockup),17,
26/02/18,14:00,15:15,Extern,Wireframe(mockup),17,
26/02/18,17:30,18:30,Extern,Wireframe(mockup),17,
26/02/18,20:15,21:00,Extern,Wireframe(mockup),17,
27/02/18,8:15,12:30,Campus, Analyse,,
01/03/2018,14:00,15:30,Extern, Wireframe updaten,17,
05/03/2018,19:00,20:20,Extern, Wireframe afwerken,17,
06/03/2018,8:15,12:30,Campus, Wireframe aanpassingen + afgewerkt en latex verslag aanpassen,17,
07/03/2018,19:00,19:50,Extern, Wireframes finalisatie + latex bijlage en wireframes toevoegen,17,
08/03/2018,14:00,15:00,Extern, Use case diagram maken,10,
09/03/2018,17:00,18:30,Extern, Use cases opmaak in latex opstellen + begin use cases uitschrijven,10,
10/03/2018,14:00,14:30,Extern, Use cases verder uitschrijven,10,
11/03/2018,16:00,18:00,Extern, Use cases verder uitschrijven,10,
12/03/2018,17:30,18:30,Extern, Use cases afwerken + toevoegen in latex,10,
12/03/2018,19:00,19:30,Extern, Use cases in latex afwerken,10,
13/03/2018,8:15,12:30,Campus, Presentatie + wireframes bijwerken,17,
17/03/2018,13:00,16:00,Campus, Angular 5 documentatie,,
20/03/2018,8:15,12:30,Campus, Wireframes bijwerken + use case aanpassingen bekijken,17,
20/03/2018,18:00,18:30,Extern, error 404,,
27/03/2018,8:15,12:30,Campus, Use case diagram + Angular,,
19/04/2018,18:30,19:30,Extern, Latex fixes + use case diagram,,
23/04/2018,21:45,22:15,Extern, Use case diagram aangepast,,
24/04/2018,8:15,12:30,Campus, Presentatie + meeting + bootstrap,,
07/05/2018,18:30,22:15,Extern, Assignments front end,81,
08/05/2018,8:15,12:30,Campus, Feedback + verdeling + video upload fix,91,
09/05/2018,12:00,15:00,Extern, Try to fix video upload bug,91,
09/05/2018,16:00,17:45,Extern, Front end angular basics + services etc,81,
10/05/2018,12:30,17:30,Extern, Upload video fixed,91,
10/05/2018,18:30,21:30,Extern, Front end file select(fix) + error handling video upload,110 108,
11/05/2018,14:00,17:00,Extern, Seed aanpasssen voor video upload(assignmentid) + fix uploadvid assignment picker,108,
12/05/2018,10:00,11:15,Extern, Seed fixed + video model edited,108,
12/05/2018,11:15,12:15,Extern, Show assingment op de video pagina,116,
12/05/2018,14:00,16:45,Extern, Save uploaded video in database,108,
12/05/2018,18:00,19:30,Extern, Try to fix video show/upload bug, 124,
13/05/2018,14:00,17:00,Extern, Try to fix video show/upload bug, 124,
14/05/2018,12:00,20:00,Extern, Fixed video show/upload bug(stream) + random bugfixes,124,

